team,year,medal,sport,name
United States,2008,Silver,Water Polo,Elsie Windes
United States,2008,Gold,Athletics,Mary Wineberg (Danner-)
United States,2008,Gold,Athletics,"Reginald Edwin ""Regi"" Witherspoon"
Germany,2008,Gold,Hockey,Philip Witte
Germany,2008,Gold,Hockey,Matthias Witthaus
United States,2008,Silver,Water Polo,Adam Perry Wright
Australia,2008,Bronze,Softball,Belinda Wright (-Barnes)
Australia,2008,Silver,Diving,Melissa Paige Wu
Australia,2008,Bronze,Softball,Kerry Anne Wyborn (-Newsome)
Germany,2008,Bronze,Canoeing,Tomasz Wylenzek
Germany,2008,Silver,Canoeing,Tomasz Wylenzek
Japan,2008,Gold,Softball,Eri Yamada
Japan,2008,Gold,Wrestling,Saori Yoshida
Japan,2008,Bronze,Wrestling,Kenichi Yumoto
United States,2008,Gold,Fencing,Mariel Leigh Zagunis
United States,2008,Bronze,Fencing,Mariel Leigh Zagunis
Germany,2008,Gold,Hockey,Christopher Zeller
Germany,2008,Gold,Hockey,Philipp Zeller
Canada,2010,Gold,Ice Hockey,Meghan Christina Agosta (-Marciano)
Canada,2010,Gold,Snowboarding,Jasey-Jay Anderson
Germany,2010,Silver,Cross Country Skiing,Tobias Angerer
Germany,2010,Gold,Speed Skating,Daniela Anschtz-Thoms
France,2010,Silver,Snowboarding,Dborah Jessica Anthonioz
Canada,2010,Gold,Ice Hockey,Gillian Mary Apps
Japan,2010,Silver,Figure Skating,Mao Asada
United States,2010,Silver,Ice Hockey,David Anthony Backes
United States,2010,Bronze,Freestyle Skiing,Shannon Deanne Bahrke
France,2010,Silver,Biathlon,Sandrine Bailly
Canada,2010,Silver,Curling,"Corinne ""Cori"" Bartel (-Morris)"
Canada,2010,Gold,Short Track Speed Skating,Guillaume Bastille
United States,2010,Bronze,Short Track Speed Skating,Allison Baver
France,2010,Silver,Biathlon,Sylvie Becaert
Germany,2010,Silver,Speed Skating,Stephanie Beckert
Germany,2010,Silver,Speed Skating,Stephanie Beckert
Germany,2010,Gold,Speed Skating,Stephanie Beckert
Australia,2010,Silver,Freestyle Skiing,Dale Begg-Smith
United States,2010,Silver,Ice Hockey,Kacey Lee Bellamy
Canada,2010,Gold,Ice Hockey,Patrice Bergeron-Cleary
Canada,2010,Silver,Curling,Cheryl Bernard (Kullman-)
Canada,2010,Gold,Freestyle Skiing,"Alexandre ""Alex"" Bilodeau"
Canada,2010,Gold,Ice Hockey,Tessa Bonhomme
Canada,2010,Gold,Ice Hockey,Jennifer Lori Botterill
Canada,2010,Gold,Ice Hockey,"Daniel Denis ""Dan"" Boyle"
France,2010,Bronze,Snowboarding,Mathieu Ren Bozzetto
Australia,2010,Gold,Snowboarding,Torah Jane Bright (-Thomson)
Canada,2010,Gold,Ice Hockey,Martin Pierre Brodeur
United States,2010,Silver,Ice Hockey,Dustin James Brown
France,2010,Bronze,Biathlon,Marie Laure Louise Graldine Brunet
France,2010,Silver,Biathlon,Marie Laure Louise Graldine Brunet
United States,2010,Silver,Ice Hockey,Caitlin Kinder Cahow
United States,2010,Silver,Ice Hockey,Ryan Callahan
United States,2010,Silver,Nordic Combined,Brett Camerota
United States,2010,Bronze,Short Track Speed Skating,"John Robert ""J. R."" Celski"
United States,2010,Bronze,Short Track Speed Skating,"John Robert ""J. R."" Celski"
United States,2010,Silver,Ice Hockey,Lisa Chesson
United States,2010,Bronze,Short Track Speed Skating,Simon Cho
United States,2010,Silver,Ice Hockey,Julie Wu Chu
United States,2010,Bronze,Snowboarding,Kelly Clark
Canada,2010,Gold,Ice Hockey,Sidney Patrick Crosby
Canada,2010,Silver,Curling,Carolyn Darbyshire-McRory
United States,2010,Silver,Ice Hockey,Natalie Rose Darwitz
United States,2010,Gold,Speed Skating,Shani Earl Davis
United States,2010,Silver,Speed Skating,Shani Earl Davis
United States,2010,Gold,Nordic Combined,"William ""Bill"" Demong"
United States,2010,Silver,Nordic Combined,"William ""Bill"" Demong"
United States,2010,Bronze,Short Track Speed Skating,Kimberly Derrick
France,2010,Bronze,Biathlon,Marie Dorin-Habert
France,2010,Silver,Biathlon,Marie Dorin-Habert
Canada,2010,Gold,Ice Hockey,Drew Doughty
United States,2010,Silver,Ice Hockey,"Christopher Ellis ""Chris"" Drury"
United States,2010,Bronze,Short Track Speed Skating,"Alyson ""Aly"" Dudek"
United States,2010,Silver,Ice Hockey,Meghan Duggan
Germany,2010,Bronze,Nordic Combined,Tino Edelmann
United States,2010,Silver,Ice Hockey,Molly Marie Engstrom
Canada,2010,Gold,Curling,Adam Enright
Sweden,2010,Gold,Biathlon,Bjrn Lars Johannes Erik Ferry
Italy,2010,Bronze,Short Track Speed Skating,Arianna Fontana
France,2010,Silver,Biathlon,Martin Fourcade
Germany,2010,Bronze,Nordic Combined,Eric Frenzel
Germany,2010,Gold,Speed Skating,"Anna Christine ""Anni"" Friesinger-Postma"
United States,2010,Bronze,Short Track Speed Skating,Lana Gehring
Germany,2010,Bronze,Luge,Natalie Geisenberger
Canada,2010,Gold,Ice Hockey,Ryan Getzlaf
Canada,2010,Gold,Speed Skating,Mathieu Giroux
Germany,2010,Bronze,Biathlon,Martina Glagow-Beck
United States,2010,Silver,Ice Hockey,"Timothy Patrick ""Tim"" Gleason"
Germany,2010,Silver,Cross Country Skiing,Miriam Gssner
Canada,2010,Silver,Short Track Speed Skating,Jessica Gregg
Canada,2010,Silver,Speed Skating,Kristina Nicole Groves
Canada,2010,Bronze,Speed Skating,Kristina Nicole Groves
Sweden,2010,Silver,Cross Country Skiing,Anna Margret Haag (Hansson-)
Sweden,2010,Silver,Cross Country Skiing,Anna Margret Haag (Hansson-)
Canada,2010,Gold,Short Track Speed Skating,Charles Hamelin
Canada,2010,Gold,Short Track Speed Skating,Charles Hamelin
Canada,2010,Gold,Short Track Speed Skating,Franois Hamelin
United States,2010,Silver,Speed Skating,Brian Hansen
Germany,2010,Bronze,Biathlon,Simone Hye-Soon Hauswald (Denkinger-)
Germany,2010,Bronze,Biathlon,Simone Hye-Soon Hauswald (Denkinger-)
Canada,2010,Gold,Ice Hockey,"Daniel James ""Dany"" Heatley"
Canada,2010,Gold,Curling,"Benjamin ""Ben"" Hebert"
United States,2010,Bronze,Speed Skating,Chad Paul Hedrick
United States,2010,Silver,Speed Skating,Chad Paul Hedrick
Canada,2010,Gold,Ice Hockey,Jayna Hefford
Canada,2010,Silver,Freestyle Skiing,Jennifer Heil
Sweden,2010,Gold,Cross Country Skiing,Carl Marcus Joakim Hellner
Sweden,2010,Gold,Cross Country Skiing,Carl Marcus Joakim Hellner
Germany,2010,Bronze,Biathlon,Andrea Henkel (-Burke)
Germany,2010,Gold,Alpine Skiing,Maria Hfl-Riesch
Germany,2010,Gold,Alpine Skiing,Maria Hfl-Riesch
Japan,2010,Silver,Speed Skating,Masako Hozumi
Germany,2010,Bronze,Skeleton,Anja Huber (-Selbach)
Germany,2010,Gold,Luge,Tatjana Hfner
Canada,2010,Bronze,Speed Skating,Clara Hughes
Australia,2010,Gold,Freestyle Skiing,Lydia Ierodiaconou-Lassila
Canada,2010,Gold,Ice Hockey,Jarome Arthur-Leigh Adekunle Tig Junior Elvis Iginla
Canada,2010,Gold,Ice Hockey,Haley Lyn Irwin
France,2010,Gold,Biathlon,Vincent Nicolas Jay
France,2010,Bronze,Biathlon,Vincent Nicolas Jay
United States,2010,Bronze,Short Track Speed Skating,Travis Jayner
Canada,2010,Gold,Short Track Speed Skating,Olivier Jean
United States,2010,Silver,Ice Hockey,Erik Robert Johnson
United States,2010,Silver,Ice Hockey,"John Joseph Louis ""Jack"" Johnson, III"
Canada,2010,Gold,Ice Hockey,Rebecca Ann Johnston
France,2010,Bronze,Freestyle Skiing,Marion Josserand
Sweden,2010,Gold,Cross Country Skiing,Marina Charlotte Kalla
Sweden,2010,Silver,Cross Country Skiing,Marina Charlotte Kalla
United States,2010,Silver,Ice Hockey,Patrick Timothy Kane
Japan,2010,Bronze,Speed Skating,Joji Kato
United States,2010,Gold,Freestyle Skiing,Hannah Angela Kearney
Canada,2010,Gold,Ice Hockey,Duncan Keith
Canada,2010,Gold,Ice Hockey,"Rebecca D. ""Becky"" Kellar (-Duke)"
Canada,2010,Gold,Curling,Marc Kennedy
United States,2010,Silver,Ice Hockey,Ryan James Kesler
United States,2010,Silver,Ice Hockey,"Philip Joseph ""Phil"" Kessel, Jr."
United States,2010,Gold,Alpine Skiing,Lindsey Caroline Kildow-Vonn
United States,2010,Bronze,Alpine Skiing,Lindsey Caroline Kildow-Vonn
Canada,2010,Gold,Ice Hockey,Gina Kingsbury
Germany,2010,Bronze,Nordic Combined,Bjrn Kircheisen
United States,2010,Silver,Ice Hockey,Hilary Atwood Knight
Japan,2010,Silver,Speed Skating,Nao Kodaira
United States,2010,Silver,Speed Skating,Jonathan Kuck
Germany,2010,Silver,Cross Country Skiing,Claudia Knzel-Nystad
Germany,2010,Gold,Cross Country Skiing,Claudia Knzel-Nystad
Canada,2010,Gold,Ice Hockey,"Charline ""Charlie"" Labont"
United States,2010,Bronze,Snowboarding,Scotty Lago
United States,2010,Silver,Ice Hockey,Jocelyne Nicole Lamoureux
United States,2010,Silver,Ice Hockey,Monique Edith Lamoureux (-Kolls)
France,2010,Gold,Nordic Combined,Jason Grgory Lamy-Chappuis
United States,2010,Silver,Ice Hockey,Jamie Craig Langenbrunner
United States,2010,Silver,Ice Hockey,Erika Lyn Lawler
Sweden,2010,Gold,Curling,Eva Cathrine Lindahl (Norberg-)
Germany,2010,Gold,Luge,Felix Loch
United States,2010,Silver,Nordic Combined,Todd Lodwick
Sweden,2010,Gold,Curling,Eva Maria Lund (-Eriksson)
Canada,2010,Gold,Ice Hockey,Roberto Luongo
United States,2010,Gold,Figure Skating,Evan Frank Lysacek
Canada,2010,Gold,Ice Hockey,Carla MacLeod
Canada,2010,Gold,Speed Skating,Lucas Markian Makowsky
United States,2010,Bronze,Short Track Speed Skating,Jordan Malone
United States,2010,Silver,Ice Hockey,Ryan Gregory Malone
United States,2010,Silver,Alpine Skiing,Julia Marie Mancuso (-Fish)
United States,2010,Silver,Alpine Skiing,Julia Marie Mancuso (-Fish)
Canada,2010,Gold,Ice Hockey,Patrick Denis Marleau
United States,2010,Silver,Speed Skating,Trevor Marsicano
Canada,2010,Gold,Curling,Kevin Martin
United States,2010,Silver,Ice Hockey,"Gisle Marie ""Gigi"" Marvin"
Germany,2010,Gold,Speed Skating,Katrin Mattscherodt
Canada,2010,Gold,Freestyle Skiing,Ashleigh McIvor (-DeMerit)
United States,2010,Silver,Ice Hockey,Brianne Lea McLaughlin
Canada,2010,Gold,Ice Hockey,Meaghan Mikkelson
United States,2010,Bronze,Alpine Skiing,Samuel Bode Miller
United States,2010,Silver,Alpine Skiing,Samuel Bode Miller
United States,2010,Gold,Alpine Skiing,Samuel Bode Miller
United States,2010,Silver,Ice Hockey,Ryan Dean Miller
Germany,2010,Silver,Luge,David Mller
Canada,2010,Gold,Skeleton,"Jonathan Riley ""Jon"" Montgomery"
Canada,2010,Silver,Curling,Kristie Moore
Canada,2010,Gold,Curling,John Morris
Canada,2010,Gold,Speed Skating,Denny Morrison
Canada,2010,Gold,Ice Hockey,Brenden Morrow
Sweden,2010,Bronze,Alpine Skiing,Per Andr Myhrer
Japan,2010,Silver,Speed Skating,Keiichiro Nagashima
Canada,2010,Gold,Ice Hockey,Rick McLaren Nash
Canada,2010,Gold,Speed Skating,Christine Margaret Nesbitt
Germany,2010,Silver,Ski Jumping,Michael Neumayer
Germany,2010,Silver,Biathlon,Magdalena Neuner (-Holzer)
Germany,2010,Gold,Biathlon,Magdalena Neuner (-Holzer)
Germany,2010,Gold,Biathlon,Magdalena Neuner (-Holzer)
Canada,2010,Gold,Ice Hockey,Scott Niedermayer
Sweden,2010,Gold,Curling,Anette Charlotte Norberg
Canada,2010,Silver,Curling,Susan O'Connor
United States,2010,Bronze,Short Track Speed Skating,Apolo Anton Ohno
United States,2010,Silver,Short Track Speed Skating,Apolo Anton Ohno
United States,2010,Bronze,Short Track Speed Skating,Apolo Anton Ohno
Sweden,2010,Bronze,Cross Country Skiing,Johan Arne Olsson
Sweden,2010,Bronze,Cross Country Skiing,Johan Arne Olsson
Sweden,2010,Gold,Cross Country Skiing,Johan Arne Olsson
United States,2010,Silver,Ice Hockey,Richard Brooks Orpik
Canada,2010,Gold,Ice Hockey,Caroline Ouellette
United States,2010,Silver,Ice Hockey,"Zachary Justin ""Zach"" Parise"
Sweden,2010,Bronze,Alpine Skiing,Anja Sofia Tess Prson
United States,2010,Silver,Ice Hockey,"Joseph James ""Joe"" Pavelski"
Canada,2010,Gold,Ice Hockey,Corey Perry
United States,2010,Silver,Freestyle Skiing,Jeret Peterson
Italy,2010,Silver,Cross Country Skiing,Pietro Piller Cottrer
Canada,2010,Gold,Ice Hockey,Cherie Piper
Italy,2010,Bronze,Nordic Combined,Alessandro Pittin
Canada,2010,Gold,Ice Hockey,Marie-Philip Poulin
Canada,2010,Gold,Ice Hockey,"Christopher Robert ""Chris"" Pronger"
United States,2010,Silver,Ice Hockey,Brian Christopher Rafalski
France,2010,Bronze,Snowboarding,Tony mile Frdric Ramoin
Italy,2010,Gold,Alpine Skiing,Giuliano Razzoli
Germany,2010,Gold,Alpine Skiing,Viktoria Rebensburg
United States,2010,Silver,Short Track Speed Skating,Katherine Reutter
United States,2010,Bronze,Short Track Speed Skating,Katherine Reutter
Canada,2010,Gold,Ice Hockey,"Michael ""Mike"" Richards"
Sweden,2010,Gold,Cross Country Skiing,Jan Olof Daniel Richardsson
Canada,2010,Gold,Snowboarding,Malle Danica Ricker
Canada,2010,Silver,Short Track Speed Skating,Kalyna Roberge
Canada,2010,Silver,Snowboarding,"Michael ""Mike"" Robertson"
Canada,2010,Bronze,Figure Skating,Joannie Rochette
United States,2010,Silver,Ice Hockey,Angela Marie Ruggiero
United States,2010,Silver,Ice Hockey,"Robert Shane ""Bobby"" Ryan (Stevenson-)"
Germany,2010,Bronze,Nordic Combined,Johannes Rydzek
Germany,2010,Silver,Cross Country Skiing,Evi Sachenbacher-Stehle
Germany,2010,Gold,Cross Country Skiing,Evi Sachenbacher-Stehle
United States,2010,Silver,Ice Hockey,Molly Patricia Schaus
United States,2010,Silver,Ice Hockey,"Jennifer Lynn ""Jenny"" Schmidgall-Potter"
Germany,2010,Silver,Ski Jumping,Martin Schmitt
Canada,2010,Gold,Ice Hockey,Brent Seabrook
Sweden,2010,Gold,Cross Country Skiing,Hans Anders Sdergren
Canada,2010,Gold,Ice Hockey,Colleen Sostorics
United States,2010,Silver,Nordic Combined,"John ""Johnny"" Spillane"
United States,2010,Silver,Nordic Combined,"John ""Johnny"" Spillane"
United States,2010,Silver,Nordic Combined,"John ""Johnny"" Spillane"
Canada,2010,Silver,Short Track Speed Skating,Marianne St-Gelais
Canada,2010,Silver,Short Track Speed Skating,Marianne St-Gelais
Canada,2010,Gold,Ice Hockey,Kim St-Pierre
Canada,2010,Gold,Ice Hockey,Eric Craig Staal
United States,2010,Silver,Ice Hockey,Kelli Allison Stack
United States,2010,Silver,Ice Hockey,Paul Stastny
United States,2010,Silver,Ice Hockey,Ryan Suter
Sweden,2010,Gold,Curling,Anna Maria Svrd-Le Moine (Bergstrm-)
Canada,2010,Gold,Ice Hockey,Shannon Lynn Szabados
Germany,2010,Silver,Skeleton,Kerstin Szymkowiak (Jrgens-)
Japan,2010,Silver,Speed Skating,Maki Tabata
Japan,2010,Bronze,Figure Skating,Daisuke Takahashi
Germany,2010,Silver,Cross Country Skiing,Axel Teichmann
Germany,2010,Silver,Cross Country Skiing,Axel Teichmann
United States,2010,Silver,Snowboarding,Hannah Lee Teter
United States,2010,Silver,Ice Hockey,Karen Thatcher
United States,2010,Silver,Ice Hockey,"Timothy ""Tim"" Thomas, Jr."
Canada,2010,Gold,Ice Hockey,"Joseph Eric ""Joe"" Thornton"
Canada,2010,Gold,Ice Hockey,Jonathan Bryan Toews
Canada,2010,Bronze,Short Track Speed Skating,Franois-Louis Tremblay
Canada,2010,Gold,Short Track Speed Skating,Franois-Louis Tremblay
Germany,2010,Silver,Cross Country Skiing,Tim Tscharnke
Germany,2010,Silver,Ski Jumping,Michael Uhrmann
Canada,2010,Gold,Ice Hockey,Sarah Marie Vaillancourt
United States,2010,Silver,Ice Hockey,"Jessica Ann ""Jessie"" Vetter"
Canada,2010,Silver,Short Track Speed Skating,Tania Vicent
Germany,2010,Silver,Ski Jumping,Andreas Wank
Canada,2010,Gold,Ice Hockey,Catherine Ward
Canada,2010,Gold,Ice Hockey,Shea Michael Weber
United States,2010,Bronze,Alpine Skiing,Andrew Weibrecht
United States,2010,Silver,Ice Hockey,Kerry Pauline Weiland
United States,2010,Gold,Snowboarding,Seth Benjamin Wescott
United States,2010,Gold,Snowboarding,Shaun Roger White
United States,2010,Silver,Ice Hockey,Ryan Whitney
Canada,2010,Gold,Ice Hockey,Hayley Marie Wickenheiser
Germany,2010,Bronze,Biathlon,"Katarina ""Kati"" Wilhelm"
Great Britain,2010,Gold,Skeleton,Amy Joy Williams
United States,2010,Bronze,Freestyle Skiing,Bryon Wilson
Germany,2010,Silver,Speed Skating,Jenny Wolf (-Lotze)
United States,2010,Silver,Ice Hockey,Jinelle Lynn Zaugg-Siergiej
Germany,2010,Silver,Cross Country Skiing,Katrin Zeller
Italy,2010,Bronze,Luge,Armin Zggeler
France,2012,Gold,Handball,Luc Abalo
Canada,2012,Bronze,Diving,Jennifer Abel
France,2012,Gold,Handball,William Accambray
Great Britain,2012,Gold,Boxing,Nicola Virginia Adams
Germany,2012,Gold,Rowing,Filip Kamil Adamski
Great Britain,2012,Bronze,Swimming,"Rebecca ""Becky"" Adlington"
Great Britain,2012,Bronze,Swimming,"Rebecca ""Becky"" Adlington"
United States,2012,Gold,Swimming,Nathan Ghar-Jun Adrian
United States,2012,Silver,Swimming,Nathan Ghar-Jun Adrian
United States,2012,Gold,Swimming,Nathan Ghar-Jun Adrian
France,2012,Gold,Swimming,Yannick Agnel
France,2012,Gold,Swimming,Yannick Agnel
France,2012,Silver,Swimming,Yannick Agnel
Italy,2012,Silver,Water Polo,Matteo Aicardi
Germany,2012,Bronze,Canoeing,Hannes Aigner
Great Britain,2012,Gold,Sailing,"Charles Benedict ""Ben"" Ainslie"
United States,2012,Silver,Volleyball,Foluke Antinuke Akinradewo
Sweden,2012,Silver,Equestrianism,Sara Anneli Algotsson Ostholt
United States,2012,Gold,Swimming,Alyssa Jean Anderson
United States,2012,Silver,Swimming,Haley Danita Anderson
Sweden,2012,Silver,Handball,Kim Verner Andersson
Sweden,2012,Silver,Handball,Erik Mattias Andersson
Japan,2012,Silver,Football,Kozue Ando
United States,2012,Gold,Basketball,Carmelo Kyan Anthony
Japan,2012,Bronze,Volleyball,Erika Araki
Great Britain,2012,Silver,Cycling,"Elizabeth Mary ""Lizzie"" Armitstead (-Deignan)"
United States,2012,Gold,Water Polo,"Elizabeth ""Betsey"" Armstrong"
United States,2012,Gold,Cycling,Kristin Ann Armstrong (-Savola)
Germany,2012,Silver,Cycling,Judith Arndt
Italy,2012,Gold,Fencing,Valerio Aspromonte
Germany,2012,Bronze,Equestrianism,Sandra Auffarth
Germany,2012,Gold,Equestrianism,Sandra Auffarth
United States,2012,Gold,Basketball,Seimone Delicia Augustus
Italy,2012,Gold,Fencing,Giorgio Avola
Japan,2012,Silver,Fencing,Suguru Awaji
Germany,2012,Bronze,Fencing,Sebastian Bachmann
Australia,2012,Silver,Swimming,Angie Lee Bainbridge
United States,2012,Gold,Athletics,Keshia Chantay Baker (-Kirtz)
Italy,2012,Gold,Fencing,Andrea Baldini
Great Britain,2012,Bronze,Hockey,Ashleigh Julia Ball
France,2012,Bronze,Swimming,Coralie Balmy
Germany,2012,Silver,Rowing,Carina Br
France,2012,Gold,Handball,Xavier Barachet
Italy,2012,Bronze,Volleyball,Andrea Bari
Australia,2012,Bronze,Swimming,Bronte Amelia Arnold Barratt
Australia,2012,Silver,Swimming,Bronte Amelia Arnold Barratt
United States,2012,Silver,Athletics,Brigetta LaShea Barrett
Great Britain,2012,Bronze,Hockey,Laura Bartlett
Great Britain,2012,Silver,Rowing,"Christopher Roger ""Chris"" Bartley"
Australia,2012,Bronze,Basketball,Suzy Batkovic (-Brown)
Italy,2012,Silver,Rowing,Romano Battisti
France,2012,Silver,Cycling,Grgory Benot Baug
France,2012,Silver,Cycling,Grgory Benot Baug
United States,2012,Silver,Cycling,"Dorothy Lee ""Dotsie"" Bausch (Cowden-)"
Australia,2012,Bronze,Water Polo,Gemma Beadsworth
Great Britain,2012,Gold,Rowing,Anna Rose Bebington-Watkins
Great Britain,2012,Bronze,Equestrianism,Laura Bechtolsheimer (-Tomlinson)
Great Britain,2012,Gold,Equestrianism,Laura Bechtolsheimer (-Tomlinson)
France,2012,Silver,Basketball,Clmence Beikes
United States,2012,Bronze,Swimming,Elizabeth Lyon Beisel
United States,2012,Silver,Swimming,Elizabeth Lyon Beisel
Australia,2012,Gold,Sailing,Mathew Belcher
Canada,2012,Bronze,Diving,Meaghan Benfeito
United States,2012,Silver,Swimming,"Richard ""Ricky"" Berens"
United States,2012,Gold,Swimming,"Richard ""Ricky"" Berens"
United States,2012,Silver,Volleyball,Lindsey Napela Berg
Canada,2012,Silver,Rowing,"Gabriel ""Gabe"" Bergen"
Hungary,2012,Gold,Gymnastics,Krisztin Berki
France,2012,Gold,Swimming,Alain Andr Louis Edmond Bernard
United States,2012,Gold,Shooting,Jamie Lynn Beyerle-Gray (-Corkish)
Italy,2012,Bronze,Volleyball,Emanuele Birarelli
United States,2012,Gold,Basketball,"Suzanne Brigit ""Sue"" Bird"
Germany,2012,Silver,Judo,Ole Bischof
Australia,2012,Bronze,Basketball,Abby Bishop
Great Britain,2012,Silver,Sailing,Stuart Bithell
Italy,2012,Bronze,Rhythmic Gymnastics,Elisa Blanchi
Australia,2012,Silver,Cycling,Jack Bobridge
Germany,2012,Bronze,Table Tennis,Timo Boll
Italy,2012,Bronze,Volleyball,Dante Boninfante
France,2012,Bronze,Swimming,Charlotte Bonnet
United States,2012,Gold,Swimming,Rachel Kristine Bootsma
United States,2012,Gold,Diving,David Alasdair Boudia
United States,2012,Bronze,Diving,David Alasdair Boudia
United States,2012,Gold,Football,Shannon Leigh Boxx
Great Britain,2012,Gold,Equestrianism,Scott Brash
Germany,2012,Gold,Canoeing,Sebastian Brendel
France,2012,Gold,Cycling,Julie Bresset
Australia,2012,Silver,Diving,Brittany Broben
Germany,2012,Silver,Equestrianism,Kristina Brring-Sprehe
Canada,2012,Silver,Rowing,Jeremiah Brown
Australia,2012,Bronze,Water Polo,Victoria Brown
Great Britain,2012,Gold,Triathlon,Alistair Edward Brownlee
Great Britain,2012,Bronze,Triathlon,"Jonathan Callum ""Jonny"" Brownlee"
Great Britain,2012,Bronze,Judo,Karina Louise Bryant
United States,2012,Silver,Diving,Kelci Marie Bryant
United States,2012,Gold,Basketball,Kobe Bean Bryant
Canada,2012,Silver,Rowing,Ashley Brzozowicz
United States,2012,Gold,Football,Rachel Marie Buehler (-Van Hollebeke)
Australia,2012,Bronze,Hockey,Nathan Burgers
Great Britain,2012,Gold,Cycling,Steven James Burke
United States,2012,Gold,Wrestling,Jordan Ernest Burroughs
Australia,2012,Bronze,Hockey,Matthew Butturini
Canada,2012,Silver,Rowing,James Andrew Byrnes
United States,2012,Gold,Rowing,Erin Jane Cafaro (-McKenzie)
Australia,2012,Bronze,Basketball,"Elizabeth Folake ""Liz"" Cambage"
Italy,2012,Silver,Boxing,Roberto Cammarelle
Great Britain,2012,Bronze,Rowing,Alan Campbell
Australia,2012,Gold,Swimming,Cate Natalie Campbell
Great Britain,2012,Gold,Boxing,Luke Campbell
Italy,2012,Silver,Shooting,Niccol Campriani
Italy,2012,Gold,Shooting,Niccol Campriani
Canada,2012,Bronze,Cycling,Gillian Carleton
Australia,2012,Bronze,Hockey,Joel Carroll
United States,2012,Gold,Basketball,"Swintayla Marie ""Swin"" Cash"
Italy,2012,Gold,Fencing,Andrea Cassar
United States,2012,Gold,Basketball,Tamika Devonne Catchings
Great Britain,2012,Silver,Rowing,Peter Chambers
Great Britain,2012,Silver,Rowing,Richard Scott Chambers
United States,2012,Gold,Basketball,Tyson Cleotis Chandler
Canada,2012,Bronze,Football,Candace Marie Margaret Chapman
Australia,2012,Silver,Rowing,James Jonathan Chapman
France,2012,Silver,Rowing,Germain Louis Marcel Chardin
Great Britain,2012,Gold,Equestrianism,Peter Charles
United States,2012,Gold,Basketball,Tina Alexandria Charles
United States,2012,Gold,Football,Lauren Nicole Cheney (-Holiday)
Japan,2012,Silver,Fencing,Kenta Chida
United States,2012,Bronze,Wrestling,Clarissa Kyoko Mei Ling Chun
Australia,2012,Bronze,Hockey,"Christopher ""Chris"" Ciriello"
Great Britain,2012,Gold,Cycling,"Edward ""Ed"" Clancy"
Great Britain,2012,Bronze,Cycling,"Edward ""Ed"" Clancy"
Great Britain,2012,Silver,Sailing,Saskia Clark
United States,2012,Gold,Swimming,Scott Tyler Clary
United States,2012,Bronze,Athletics,"William Bundu ""Will"" Claye"
United States,2012,Silver,Athletics,"William Bundu ""Will"" Claye"
Australia,2012,Gold,Canoeing,Jacob Clear
Canada,2012,Silver,Swimming,Ryan Andrew Cochrane
United States,2012,Bronze,Rowing,"Charles ""Charlie"" Cole"
Great Britain,2012,Silver,Equestrianism,"Althea Kristina ""Tina"" Cook (Gifford-)"
Great Britain,2012,Gold,Rowing,"Katherine Sarah ""Kat"" Copeland"
France,2012,Silver,Cycling,Bryan Coquard
United States,2012,Bronze,Swimming,Natalie Anne Coughlin (-Hall)
Australia,2012,Gold,Swimming,Alicia Jayne Coutts
Australia,2012,Silver,Swimming,Alicia Jayne Coutts
Australia,2012,Bronze,Swimming,Alicia Jayne Coutts
Australia,2012,Silver,Swimming,Alicia Jayne Coutts
Australia,2012,Silver,Swimming,Alicia Jayne Coutts
United States,2012,Gold,Water Polo,"Kameryn Louise ""Kami"" Craig"
Canada,2012,Silver,Rowing,Will Crothers
Australia,2012,Bronze,Rowing,"Kimberley ""Kim"" Crow-Brennan"
Australia,2012,Silver,Rowing,"Kimberley ""Kim"" Crow-Brennan"
Hungary,2012,Bronze,Swimming,"Lszl Cseh, Jr."
Hungary,2012,Bronze,Judo,va Csernoviczki
Canada,2012,Silver,Rowing,Douglas Csima
Great Britain,2012,Bronze,Hockey,Chay Crista Kerio Cullen
Australia,2012,Silver,Sailing,Nina Curtis
France,2012,Silver,Cycling,Michal D'Almeida
Sweden,2012,Silver,Shooting,Dan Anders Hkan Dahlby
Great Britain,2012,Bronze,Diving,"Thomas Robert ""Tom"" Daley"
Great Britain,2012,Bronze,Hockey,"Alexandra Mary L. ""Alex"" Danson"
United States,2012,Gold,Rowing,Caryn Davies
United States,2012,Gold,Basketball,"Anthony Marshon Davis, Jr."
United States,2012,Silver,Volleyball,Nicole Marie Davis
Canada,2012,Silver,Rowing,Rachelle De Jong-Viinberg
Canada,2012,Bronze,Canoeing,Mark de Jonge
Australia,2012,Bronze,Hockey,Liam Andrew De Young
Australia,2012,Bronze,Hockey,Timothy Deavin
France,2012,Gold,Judo,Lucie Dcosse
Germany,2012,Gold,Hockey,Oskar Deecke
United States,2012,Bronze,Rowing,Natalie Dell
United States,2012,Bronze,Athletics,"Cynthia ""Janay"" DeLoach (-Soukup)"
Great Britain,2012,Silver,Sailing,"Nicholas Charles ""Nick"" Dempsey"
United States,2012,Silver,Athletics,Lashinda Monique Demus
Australia,2012,Silver,Cycling,Rohan Dennis
Australia,2012,Bronze,Triathlon,Erin Densham
Italy,2012,Gold,Fencing,Elisa Di Francisca
Italy,2012,Gold,Fencing,Elisa Di Francisca
Germany,2012,Gold,Canoeing,Tina Dietze
