team,year,medal,sport,name
United States,1904,Gold,Athletics,"Thomas John ""Tom"" Hicks"
United States,1904,Gold,Athletics,"Harry Livingston Hillman, Jr."
United States,1904,Gold,Athletics,"Harry Livingston Hillman, Jr."
United States,1904,Gold,Athletics,"Harry Livingston Hillman, Jr."
Germany,1904,Silver,Diving,Georg Hoffmann
Germany,1904,Silver,Swimming,Georg Hoffmann
United States,1904,Silver,Athletics,"William Peter ""Bill"" Hogenson"
United States,1904,Bronze,Athletics,"William Peter ""Bill"" Hogenson"
United States,1904,Bronze,Athletics,"William Peter ""Bill"" Hogenson"
United States,1904,Gold,Archery,"Matilda ""Lida"" Howell (Scott-)"
United States,1904,Gold,Archery,"Matilda ""Lida"" Howell (Scott-)"
United States,1904,Gold,Cycling,Marcus Latimer Hurley
United States,1904,Gold,Cycling,Marcus Latimer Hurley
United States,1904,Gold,Cycling,Marcus Latimer Hurley
United States,1904,Gold,Cycling,Marcus Latimer Hurley
United States,1904,Bronze,Cycling,Marcus Latimer Hurley
United States,1904,Gold,Roque,Charles Jacobus
United States,1904,Gold,Athletics,"Samuel Symington ""Sam"" Jones"
United States,1904,Silver,Rowing,"James Benner ""Jim"" Juvenal"
United States,1904,Bronze,Diving,Frank D. Kehoe
Great Britain,1904,Gold,Athletics,"Thomas Francis ""Tom"" Kiely"
United States,1904,Silver,Athletics,"Conant Meigs ""Con"" King"
United States,1904,Silver,Athletics,"Conant Meigs ""Con"" King"
United States,1904,Gold,Boxing,Oliver Leonard Kirk
United States,1904,Gold,Boxing,Oliver Leonard Kirk
Hungary,1904,Bronze,Swimming,"Gza Kiss (Drippei-, -Klein)"
Hungary,1904,Silver,Swimming,"Gza Kiss (Drippei-, -Klein)"
United States,1904,Silver,Gymnastics,Charles Krause
Germany,1904,Bronze,Weightlifting,Frank X. Kugler
Germany,1904,Bronze,Weightlifting,Frank X. Kugler
Germany,1904,Silver,Wrestling,Frank X. Kugler
United States,1904,Silver,Swimming,John Scott Leary
United States,1904,Bronze,Swimming,John Scott Leary
United States,1904,Bronze,Tennis,Edgar Welch Leonard
United States,1904,Silver,Tennis,Robert LeRoy
United States,1904,Gold,Athletics,"James Davies ""Jim"" Lightbody"
United States,1904,Gold,Athletics,"James Davies ""Jim"" Lightbody"
United States,1904,Gold,Athletics,"James Davies ""Jim"" Lightbody"
United States,1904,Bronze,Boxing,"Joseph Patrick ""Joe"" Lydon"
Canada,1904,Gold,Golf,George Seymour Lyon
United States,1904,Gold,Boxing,Charles Mayer
United States,1904,Silver,Boxing,Charles Mayer
United States,1904,Bronze,Golf,Burt Plumb McKinnie
United States,1904,Silver,Wrestling,"Theodore Joseph ""Ted"" McLear"
United States,1904,Gold,Wrestling,George Nicholas Mehnert
United States,1904,Bronze,Gymnastics,William G. Merz
United States,1904,Bronze,Gymnastics,William G. Merz
United States,1904,Bronze,Gymnastics,William G. Merz
United States,1904,Silver,Gymnastics,William G. Merz
United States,1904,Bronze,Gymnastics,William G. Merz
United States,1904,Bronze,Boxing,"William Mayes ""Bill"" Michaels"
United States,1904,Bronze,Athletics,"James Sarsfield ""Jim"" Mitchel"
United States,1904,Bronze,Athletics,Fay R. Moulton
United States,1904,Bronze,Wrestling,William L. Nelson
United States,1904,Bronze,Athletics,Arthur Lewis Newton
United States,1904,Bronze,Athletics,Arthur Lewis Newton
United States,1904,Bronze,Golf,"Francis Clement ""Frank"" Newton"
United States,1904,Gold,Wrestling,"Isidor Gadar ""Jack"" Niflot"
United States,1904,Silver,Fencing,William Scott O'Connor
United States,1904,Silver,Weightlifting,Oscar Paul Osthoff
United States,1904,Gold,Weightlifting,Oscar Paul Osthoff
United States,1904,Bronze,Athletics,George Coleman Poage
United States,1904,Bronze,Athletics,George Coleman Poage
United States,1904,Bronze,Archery,"Lida Peyton ""Eliza"" Pollock (McMillen-)"
United States,1904,Bronze,Archery,"Lida Peyton ""Eliza"" Pollock (McMillen-)"
United States,1904,Gold,Athletics,Meyer Prinstein
United States,1904,Gold,Athletics,Meyer Prinstein
Germany,1904,Bronze,Swimming,Emil A. Rausch
Germany,1904,Gold,Swimming,Emil A. Rausch
Germany,1904,Gold,Swimming,Emil A. Rausch
United States,1904,Bronze,Athletics,Lawson Robertson
United States,1904,Gold,Wrestling,Otto Frederick Roehm
United States,1904,Gold,Athletics,Ralph Waldo Rose
United States,1904,Silver,Athletics,Ralph Waldo Rose
United States,1904,Bronze,Athletics,Ralph Waldo Rose
United States,1904,Silver,Athletics,LeRoy Perry Samse
United States,1904,Gold,Cycling,Charles Wilhelm Daniel Schlee
United States,1904,Gold,Athletics,"Frederick William ""Fred"" Schule"
United States,1904,Silver,Athletics,"Garrett Putnam Serviss, Jr."
United States,1904,Gold,Diving,George Herbert Sheldon
United States,1904,Gold,Athletics,Martin Joseph Sheridan
United States,1904,Silver,Athletics,"Thaddeus Rutter ""Thad"" Shideler"
United States,1904,Gold,Boxing,"Henry John ""Harry"" Spanjer"
United States,1904,Silver,Boxing,"Henry John ""Harry"" Spanjer"
United States,1904,Silver,Boxing,"Benjamin ""Ben"" Spradley"
United States,1904,Silver,Athletics,Joseph Francis Stadler
United States,1904,Bronze,Athletics,Joseph Francis Stadler
United States,1904,Bronze,Athletics,Robert Sedgewick Stangland
United States,1904,Bronze,Athletics,Robert Sedgewick Stangland
United States,1904,Bronze,Wrestling,Louis Bernard Strebler
United States,1904,Silver,Roque,Smith O. Streeter
United States,1904,Bronze,Boxing,Peter Johnson Sturholdt
United States,1904,Bronze,Fencing,Charles Tatham
United States,1904,Silver,Fencing,Charles Tatham
United States,1904,Silver,Fencing,Charles Tatham
United States,1904,Silver,Wrestling,Rudolph Tesiny
United States,1904,Bronze,Archery,"William Henry ""Will"" Thompson"
United States,1904,Bronze,Archery,"William Henry ""Will"" Thompson"
United States,1904,Bronze,Rowing,Constance Sutton Titus
United States,1904,Silver,Fencing,Samuel George Fitzhugh Townsend
United States,1904,Silver,Athletics,Howard Van Nostrand Valentine
United States,1904,Silver,Boxing,William Russell Van Horn
United States,1904,Silver,Fencing,Albertson Van Zo Post
United States,1904,Gold,Fencing,Albertson Van Zo Post
United States,1904,Bronze,Fencing,Albertson Van Zo Post
United States,1904,Bronze,Fencing,Albertson Van Zo Post
United States,1904,Gold,Fencing,Albertson Van Zo Post
United States,1904,Silver,Athletics,"William Franklyn ""Bill"" Verner"
United States,1904,Bronze,Gymnastics,Emil Alwell Voigt
United States,1904,Bronze,Gymnastics,Emil Alwell Voigt
United States,1904,Silver,Gymnastics,Emil Alwell Voigt
Hungary,1904,Gold,Swimming,Zoltn Imre dn von Halmay
Hungary,1904,Gold,Swimming,Zoltn Imre dn von Halmay
United States,1904,Silver,Athletics,Frank Laird Waller
United States,1904,Silver,Athletics,Frank Laird Waller
